idx,query_id,pred_rank
9117,9117,"[2241, 34626, 3053, 1625, 4607, 12670, 59457, 34661, 12717, 3795, 3507, 8579, 13738, 880, 6659, 1863, 5478, 59244, 2987, 7716, 9686, 7221, 57284, 8292, 1656, 9774, 1295, 8420, 35108, 9878, 2232, 59267, 3219, 9928, 5501, 1589, 59235, 4938, 13161, 21958, 3205, 2899, 1154, 60668, 11627, 2304, 1830, 12976, 170, 8688, 1764, 3942, 10410, 2693, 33674, 4397, 10827, 79660, 10223, 10232, 4384, 57186, 5405, 5474, 2735, 9967, 8010, 1732, 5625, 4315, 80148, 3200, 10583, 4871, 1020, 1549, 8807, 1087, 3026, 1096, 5860, 1147, 7083, 8823, 1314, 70, 1821, 95003, 13890, 2345, 11904, 7498, 120673, 13043, 34072, 186, 13383, 8055, 57476, 5598]"
7370,7370,"[66747, 67302, 63824, 63180, 63826, 64512, 64778, 64876, 63921, 65509, 64799, 63680, 66760, 63466, 63952, 64485, 63235, 68618, 64338, 64269, 64902, 64165, 64800, 63273, 129373, 64680, 63116, 64313, 64551, 64316, 64253, 65990, 64787, 65557, 69864, 64545, 63674, 69443, 63426, 64520, 63684, 64460, 64675, 64477, 64065, 63123, 64487, 66823, 64553, 63481, 63164, 63376, 63173, 68030, 63713, 68729, 64416, 63112, 63464, 129374, 63745, 64470, 64427, 65138, 64801, 63240, 63181, 66841, 66050, 63585, 63149, 63584, 68316, 63830, 63609, 63370, 63425, 63359, 69442, 63377, 63136, 63148, 64565, 64521, 64626, 63500, 63603, 64476, 64332, 64798, 63704, 65076, 64863, 63465, 64352, 63501, 64894, 63772, 63602, 63430]"
2821,2821,"[29733, 28990, 38356, 33672, 94938, 31321, 38357, 35623, 30403, 35466, 36540, 37234, 31407, 98257, 97925, 29975, 98484, 29237, 98485, 28212, 31798, 32761, 99201, 39748, 31200, 94945, 96497, 35774, 36240, 29021, 94937, 35452, 36001, 36162, 95915, 35728, 36386, 36053, 37529, 96244, 84278, 94967, 27316, 29104, 37875, 32596, 36640, 33636, 28650, 35797, 99571, 37925, 33653, 36905, 99716, 37738, 94769, 96053, 30167, 98877, 31533, 84279, 30638, 33707, 39648, 98494, 31594, 31871, 36643, 98659, 95056, 28272, 33152, 98198, 96576, 95696, 35065, 36686, 36037, 96199, 36609, 39569, 36474, 96487, 99498, 27507, 33176, 39567, 98930, 97807, 30388, 38891, 36865, 95068, 27927, 37572, 36050, 36170, 97351, 37009]"
5554,5554,"[16585, 16583, 15599, 16550, 17224, 16584, 15230, 19644, 21055, 17893, 16018, 17321, 16492, 15351, 14783, 16554, 15002, 14186, 18052, 15749, 14012, 19312, 16331, 16553, 16332, 14784, 14490, 14491, 19569, 14379, 15205, 16493, 16222, 14494, 15956, 18898, 14680, 16022, 15791, 17042, 15520, 16021, 19027, 15674, 14679, 16513, 18682, 16514, 15958, 17222, 14675, 18036, 14648, 15330, 21674, 14991, 16198, 17728, 127971, 16333, 17379, 17717, 14359, 16561, 16230, 21193, 15358, 17043, 21723, 16510, 16032, 14389, 17214, 15852, 16589, 18037, 20597, 15589, 21702, 15957, 17946, 17428, 15895, 14681, 15046, 21061, 17331, 17324, 14155, 16334, 123842, 16037, 17351, 19164, 14572, 17360, 15967, 17977, 16526, 18634]"
4240,4240,"[3033, 1631, 2329, 665, 116, 6938, 178, 11580, 6996, 1807, 2466, 3270, 34542, 11222, 1757, 5078, 4676, 34623, 846, 63099, 10705, 15, 2131, 4413, 1831, 543, 3666, 7153, 187, 902, 2927, 189, 843, 769, 772, 12281, 5915, 929, 12028, 13823, 1057, 795, 632, 1127, 6551, 2328, 395, 5794, 3605, 6591, 390, 3748, 913, 1170, 2834, 22075, 8269, 8090, 4738, 10433, 4074, 8222, 1785, 5723, 3638, 1980, 13539, 1151, 3259, 3233, 350, 3995, 10161, 7179, 9460, 5272, 119, 5589, 13766, 5443, 7652, 1995, 34209, 1832, 4985, 5809, 708, 7847, 8286, 1641, 6150, 11858, 2236, 4425, 8322, 1315, 616, 1200, 601, 610]"
2038,2038,"[29987, 98136, 97804, 99097, 99729, 97875, 99728, 30615, 31221, 99777, 99727, 27584, 39278, 99786, 99774, 99241, 99793, 30646, 99309, 31317, 29006, 99270, 39455, 99764, 99355, 28713, 99733, 35749, 30636, 39204, 38367, 128235, 29449, 32771, 31717, 97718, 27432, 32274, 99245, 99454, 99726, 27813, 31593, 99337, 30863, 94983, 99093, 28238, 36745, 31151, 32182, 99481, 28181, 38512, 119739, 98124, 28709, 28980, 27899, 28426, 30660, 35490, 30724, 29791, 99768, 29415, 37128, 120355, 99085, 99704, 99744, 29112, 28771, 27721, 27511, 30100, 29472, 95073, 31234, 99770, 30650, 35549, 30855, 99393, 28093, 28354, 33215, 99439, 27593, 35745, 97869, 97914, 38127, 99308, 99769, 27796, 29314, 39450, 38351, 27207]"
1364,1364,"[35440, 29287, 27802, 27628, 37378, 31222, 31234, 38854, 29450, 30493, 38825, 29137, 38566, 27411, 35860, 32004, 30935, 29431, 30419, 36721, 38711, 38595, 33309, 28773, 35859, 38401, 27762, 38859, 39307, 27691, 30312, 35824, 30636, 30701, 38860, 27782, 30287, 39305, 28042, 38857, 39775, 28197, 30669, 28886, 38831, 30154, 27251, 31537, 27887, 94977, 27213, 29913, 38858, 28657, 28541, 31017, 31987, 94964, 30345, 38995, 31917, 29368, 35507, 32729, 33247, 27862, 38817, 32774, 94983, 38522, 29649, 30134, 27807, 30159, 38367, 27771, 27518, 38917, 39306, 29972, 39628, 31541, 29380, 39785, 35968, 29082, 5082, 35673, 29403, 32694, 27430, 27347, 30819, 1457, 61282, 33656, 99269, 27450, 97548, 28273]"
8841,8841,"[79462, 2480, 59785, 34431, 15, 11017, 82096, 7405, 189, 59384, 22, 80028, 82073, 610, 4399, 80596, 152, 77502, 79629, 281, 282, 326, 80070, 6550, 81626, 396, 59794, 720, 56822, 773, 1107, 8103, 83010, 4510, 601, 78548, 1053, 89055, 78599, 43, 2797, 81773, 9047, 592, 6283, 3916, 161, 1491, 8385, 78450, 11047, 78446, 1098, 10279, 6558, 82971, 1229, 59795, 10653, 81129, 7210, 35318, 4184, 7202, 59578, 10798, 3168, 78727, 11926, 79500, 1618, 2301, 80879, 5560, 34607, 8019, 279, 13449, 79324, 58001, 7887, 82152, 3451, 2828, 7232, 60348, 8587, 5508, 59374, 3173, 11134, 13375, 4209, 13805, 7688, 34611, 8923, 5615, 6453, 1140]"
6021,6021,"[36253, 36694, 95478, 36968, 36388, 35929, 36419, 99944, 35764, 36040, 94829, 98788, 83924, 35681, 38035, 94640, 99860, 83806, 35489, 83923, 33678, 36604, 36286, 37756, 36412, 31498, 36650, 83927, 35458, 32489, 36020, 30229, 28772, 35445, 38245, 94625, 39020, 33454, 38908, 36018, 28576, 36319, 36447, 99036, 28190, 96127, 39496, 31502, 35678, 95628, 30419, 31385, 96126, 83807, 33014, 83762, 33656, 27530, 36320, 36647, 28016, 99785, 83887, 94577, 96961, 36048, 29935, 99996, 38310, 35961, 36432, 94878, 27574, 35565, 27300, 36035, 29760, 38530, 38719, 36315, 27995, 84281, 96273, 30994, 39531, 33431, 27568, 27959, 98787, 33605, 30104, 39800, 29182, 37175, 31417, 95431, 33440, 28881, 31493, 33679]"
9031,9031,"[94772, 28668, 39090, 27680, 36982, 84167, 33635, 99132, 97014, 38761, 38478, 27277, 33644, 33558, 28202, 36414, 33574, 35509, 36044, 35696, 35598, 35866, 97790, 35835, 39088, 28340, 37782, 38899, 36063, 27193, 28672, 27795, 39255, 31393, 35639, 27512, 33672, 28245, 30504, 27320, 36538, 35553, 36040, 84094, 38870, 38652, 27750, 33274, 84021, 99802, 28272, 27440, 95713, 39211, 27259, 95818, 99772, 30783, 27833, 29057, 36151, 39223, 27686, 27746, 31630, 98043, 37768, 99072, 36043, 33249, 28572, 30043, 28017, 38179, 95973, 95997, 95469, 27694, 32617, 27417, 28999, 98777, 95681, 27452, 98776, 27330, 27786, 38428, 28719, 27714, 27165, 37038, 27567, 99645, 95472, 27214, 27611, 30596, 83765, 27453]"
3570,3570,"[15124, 83752, 15185, 15098, 15147, 14178, 30324, 16056, 15127, 35886, 14139, 14841, 14952, 19199, 15100, 17108, 31302, 14241, 31626, 16054, 15110, 20153, 14999, 14840, 21013, 29166, 14156, 15050, 14140, 83749, 99965, 17234, 21851, 98718, 14581, 20300, 15055, 29702, 15001, 21002, 16071, 33386, 15165, 21005, 14380, 21300, 17414, 29413, 16434, 38254, 17337, 14171, 17174, 16315, 35672, 17243, 20985, 14580, 39096, 21003, 14173, 14940, 38875, 20997, 21012, 39221, 15103, 25610, 14177, 17270, 14148, 38896, 14159, 39228, 14220, 15200, 27743, 14988, 14182, 95221, 35641, 14164, 14211, 98489, 28504, 27933, 14538, 29547, 14606, 15285, 35675, 20601, 37180, 14977, 28547, 14830, 32613, 17702, 14583, 27637]"
