idx,query_id,pred_rank
9117,9117,"[3053, 9928, 35108, 13161, 34626, 1154, 12976, 10827, 9967, 57186, 1314, 10583, 8807, 1147, 2345, 34072, 339, 7902, 460, 5966, 6455, 387, 3698, 11757, 10411, 4249, 199, 8488, 700, 5648, 3683, 58178, 22034, 383, 6078, 174, 13075, 2655, 57810, 10589, 64551, 12588, 63376, 63713, 129373, 59748, 63240, 64546, 63136, 63423, 63674, 64427, 63372, 63426, 64487, 63704, 10037, 5851, 63181, 67143, 63500, 64798, 12109, 63604, 64814, 63223, 64523, 66050, 63370, 63830, 129374, 63481, 63359, 10717, 63744, 64485, 666, 64545, 64544, 64311, 69442, 63123, 63501, 64796, 64626, 63584, 63745, 63772, 63431, 63430, 64476, 64813, 63465, 64312, 68729, 63164, 64352, 64800, 64565, 64331]"
7370,7370,"[62585, 62531, 62427, 62410, 62398, 62880, 62558, 62450, 62593, 127722, 62764, 127724, 62572, 62392, 74139, 62878, 75846, 76557, 127723, 75848, 77073, 65429, 74166, 71913, 76409, 74494, 64718, 67224, 74142, 66774, 69775, 70060, 67631, 72942, 74295, 71226, 67630, 67632, 65174, 70410, 75937, 67884, 64557, 70432, 74088, 76416, 71065, 69519, 68712, 71228, 73252, 70032, 75600, 67698, 67807, 64511, 67610, 73390, 63829, 76297, 67755, 75305, 74644, 67381, 74268, 67871, 75599, 74961, 64710, 70075, 73188, 71259, 71480, 63137, 76311, 67896, 68112, 63779, 66234, 75813, 68954, 75928, 74962, 66775, 75649, 63486, 68106, 69205, 69120, 71618, 75601, 74060, 75627, 74696, 74039, 67075, 63263, 74704, 73723, 64484]"
2821,2821,"[29733, 94938, 38356, 31321, 32761, 31407, 98257, 31200, 35452, 5794, 29237, 2434, 30403, 2108, 28650, 6290, 98484, 94967, 7849, 29975, 5199, 94769, 6011, 2401, 94937, 33636, 32596, 2143, 28990, 7788, 35466, 10853, 7437, 28212, 28180, 8688, 6739, 38357, 29199, 9956, 97925, 929, 6388, 37234, 30388, 5737, 29021, 98485, 4715, 94945, 34442, 30212, 2180, 98486, 31594, 33853, 31871, 13739, 84217, 96497, 27316, 98494, 33152, 99201, 84278, 31798, 33176, 39569, 27207, 35728, 32040, 30209, 29104, 98186, 30167, 38132, 28996, 37529, 96244, 33579, 31358, 95915, 27462, 31533, 29388, 31355, 30638, 32602, 31437, 99571, 27712, 33239, 28272, 30044, 95068, 30464, 39567, 36354, 84279, 35065]"
5554,5554,"[129089, 127718, 128990, 62404, 16584, 16583, 19312, 16333, 19644, 16018, 15599, 16585, 16492, 15382, 16553, 18381, 17043, 21055, 16332, 16554, 18122, 16051, 17324, 15230, 16198, 17893, 16514, 16249, 15351, 18898, 21702, 16550, 14494, 16513, 15749, 19134, 16032, 19569, 17214, 18716, 19143, 15002, 16331, 19422, 17321, 20066, 17736, 18121, 16021, 16334, 19164, 17223, 20198, 15895, 17024, 16716, 18052, 16022, 19313, 18380, 14379, 17211, 19435, 127680, 16493, 19965, 20440, 14399, 19709, 14991, 17328, 128378, 128297, 128134, 127729, 123842, 127866, 17042, 128381, 128132, 128801, 128186, 17371, 20497, 14969, 62836, 18123, 14675, 21723, 127886, 14648, 15642, 16526, 127733, 15958, 127598, 127728, 128056, 127971, 16037]"
4240,4240,"[2329, 1631, 63099, 11580, 5078, 38357, 2466, 34623, 2328, 37010, 12028, 99910, 4413, 37660, 13823, 37215, 35898, 96070, 94945, 35727, 846, 6996, 37234, 11222, 36197, 95068, 36506, 3270, 95321, 95629, 95320, 3033, 35728, 37939, 98877, 33176, 95056, 95322, 36514, 99201, 665, 99498, 10705, 4074, 98021, 37529, 3605, 8269, 4738, 5915, 6591, 12281, 13539, 3748, 34209, 843, 8222, 7153, 7179, 9460, 3233, 2834, 56749, 4676, 1170, 8707, 11858, 3544, 1315, 8322, 6716, 7847, 3721, 4985, 34082, 35105, 33897, 8106, 8784, 1480, 543, 5723, 6551, 13601, 21985, 34522, 5720, 60123, 57462, 2832, 1741, 1004, 2786, 7652, 750, 6150, 7205, 2718, 6684, 60052]"
2038,2038,"[29987, 57542, 8776, 13598, 5858, 944, 68, 9785, 13121, 117, 5746, 2363, 98136, 97804, 31717, 97718, 38367, 27584, 99241, 39278, 31633, 29006, 30615, 31661, 32771, 29450, 99727, 99728, 99786, 31221, 29314, 27896, 99245, 30636, 99108, 39306, 35749, 30493, 94983, 39455, 97875, 38859, 27432, 30660, 95073, 32274, 28713, 27813, 27862, 99097, 99729, 28083, 32182, 30646, 27427, 31151, 28426, 99793, 29379, 31730, 36745, 30772, 28238, 30254, 31579, 29208, 38512, 35490, 27691, 37378, 31593, 28773, 39204, 28419, 27721, 99093, 128235, 29991, 2431, 98054, 29112, 189, 97674, 30771, 33215, 27807, 28966, 32904, 28181, 4270, 32452, 7330, 27938, 99777, 38675, 1763, 28771, 28980, 12991, 6453]"
1364,1364,"[27802, 29287, 29450, 37378, 38825, 35440, 31234, 38854, 38566, 35860, 30493, 38595, 27411, 38401, 35859, 29431, 32004, 8733, 38857, 7621, 38367, 3212, 39305, 3565, 38860, 3231, 38859, 33309, 1626, 30287, 22079, 35824, 28042, 2103, 39307, 27782, 30312, 38831, 6826, 10818, 38858, 4209, 38711, 27213, 38522, 39306, 32694, 27628, 27862, 94977, 38718, 28886, 28657, 30701, 29121, 35507, 31222, 29380, 28773, 39775, 38917, 27887, 213, 31017, 32729, 31987, 94983, 150, 31917, 30254, 709, 30935, 33247, 4315, 39628, 27807, 31633, 27691, 8556, 27771, 27917, 8038, 33656, 3879, 38716, 1687, 5082, 31061, 30159, 1581, 361, 38523, 30819, 98576, 38995, 578, 35673, 29314, 9965, 27762]"
8841,8841,"[79462, 7405, 58001, 25343, 2828, 1969, 1140, 10211, 11256, 11179, 79629, 1107, 396, 2797, 11665, 2480, 80070, 3155, 592, 13375, 3916, 59374, 8385, 326, 82096, 10231, 8103, 13805, 10279, 89055, 12663, 56822, 4184, 81129, 35318, 1618, 13575, 10798, 2591, 6914, 279, 1604, 1311, 35147, 22049, 35300, 34607, 3173, 77502, 82073, 23000, 13674, 56920, 35270, 3451, 10180, 34388, 58286, 4209, 80028, 6453, 5508, 11134, 3482, 83010, 23108, 56616, 59372, 7688, 1098, 59897, 2022, 34991, 8923, 5767, 22304, 377, 34864, 5660, 11017, 22395, 4003, 78727, 24341, 13594, 59789, 34431, 26099, 4734, 5047, 24189, 84341, 8805, 2658, 1781, 26305, 26609, 59794, 23186, 84347]"
6021,6021,"[36253, 36694, 16068, 14321, 15291, 15812, 19207, 16842, 14806, 95478, 16054, 35929, 36968, 15772, 36040, 14220, 15124, 36419, 14139, 16056, 36388, 15333, 15193, 99944, 15138, 14830, 15493, 38035, 16315, 14904, 33678, 17270, 83924, 14831, 36286, 94829, 14452, 83806, 83923, 36604, 98788, 35764, 31498, 32489, 94640, 96961, 37175, 38530, 35681, 36412, 36650, 99177, 39020, 27574, 30229, 95628, 99860, 35678, 94625, 83762, 29998, 83807, 35961, 28016, 30442, 35565, 36319, 33656, 38719, 36035, 98787, 36048, 36432, 30104, 39496, 83887, 28218, 39531, 83927, 96127, 27933, 33605, 28528, 33575, 37756, 29113, 28613, 29182, 27729, 99996, 35641, 38310, 31493, 95431, 33679, 36647, 36544, 36104, 98785, 36020]"
9031,9031,"[27680, 33574, 28340, 27795, 27512, 99132, 33274, 35509, 28202, 28245, 36044, 27320, 37782, 97790, 30504, 99802, 84094, 27750, 29057, 31630, 36043, 32617, 39211, 38428, 39088, 38512, 27440, 95681, 27833, 30043, 27746, 95997, 38652, 37768, 38651, 37654, 99772, 39215, 28017, 37754, 32829, 27259, 27686, 31110, 11610, 27165, 36151, 27567, 38870, 37763, 28272, 27452, 58432, 9459, 95713, 84021, 10, 33249, 30756, 95469, 28572, 27417, 1557, 28999, 33680, 4182, 99072, 94644, 98777, 27450, 13409, 38179, 5435, 30535, 27453, 2632, 1781, 31713, 37038, 95818, 34906, 27714, 95472, 39615, 8557, 95973, 97874, 35109, 98043, 35647, 35958, 11718, 94846, 27694, 30783, 33523, 27852, 351, 16572, 27611]"
3570,3570,"[83752, 35886, 35672, 30324, 15124, 15185, 39221, 98718, 31626, 99965, 15147, 31302, 38254, 27743, 29702, 38875, 39096, 29413, 39228, 38896, 33386, 29166, 38345, 32613, 15050, 19199, 35675, 95221, 28547, 15055, 25610, 83749, 98489, 29875, 16056, 28504, 95218, 27645, 31059, 20153, 32450, 15103, 15098, 15200, 27637, 28439, 17108, 37706, 35641, 21013, 17270, 38003, 16315, 27933, 95219, 37180, 33366, 15285, 29547, 31023, 21851, 14840, 14581, 27441, 20601, 21005, 38071, 14139, 21003, 28149, 84288, 32001, 28019, 37707, 31210, 28396, 16063, 32586, 17414, 21002, 29430, 28939, 21300, 20997, 27576, 37703, 14988, 15898, 31515, 17627, 97425, 35488, 14952, 36432, 15127, 20985, 15244, 31348, 33361, 36447]"
9972,9972,"[74110, 74679, 76557, 65429, 74139, 64227, 75914, 65411, 75848, 64224, 64557, 67207, 64718, 76045, 75633, 66177, 75616, 35433, 75276, 75300, 73449, 72899, 71860, 74932, 33018, 67086, 35823, 33066, 70630, 32792, 72895, 70433, 74166, 71573, 33304, 33121, 72641, 33122, 27751, 67342, 32264, 74283, 75203, 67072, 65095, 33141, 76752, 74060, 68332, 33118, 75846, 33119, 64500, 30624, 65224, 72894, 70244, 63779, 76688, 65932, 67040, 69353, 74800, 75604, 68384, 64511, 75902, 73631, 74267, 66157, 67085, 71572, 75857, 63180, 67362, 64340, 74088, 72908, 76658, 67039, 71386, 75620, 66747, 75695, 72524, 71884, 75613, 64876, 67302, 69781, 66774, 64512, 75669, 67843, 66156, 65509, 73680, 63824, 68499, 72897]"
3784,3784,"[127832, 16037, 17513, 18572, 16561, 17822, 127799, 18033, 19922, 19461, 18844, 19430, 17988, 21608, 17325, 16708, 17836, 17443, 19435, 19736, 18132, 16467, 17426, 20041, 19013, 19115, 14013, 19154, 16541, 18747, 19967, 19473, 16387, 17972, 19440, 16332, 15950, 17621, 19586, 15852, 18715, 21555, 18402, 18399, 19825, 18361, 20040, 17796, 19020, 17996, 18774, 56482, 15485, 19272, 20101, 18295, 19012, 17554, 16562, 18360, 17385, 18839, 19016, 17500, 14865, 18431, 18383, 19423, 16247, 17614, 18907, 20567, 17405, 17684, 18764, 19973, 18285, 18543, 18914, 16809, 18034, 18168, 128919, 19312, 18453, 129206, 19015, 62824, 89937, 17820, 19014, 17199, 18316, 18662, 17296, 18167, 18891, 18666, 128056, 18870]"
10268,10268,"[33575, 29113, 30035, 33656, 28208, 36187, 84173, 95076, 94791, 1286, 98053, 337, 35505, 2821, 35436, 398, 27426, 119, 38928, 982, 83764, 36544, 503, 36242, 30992, 30541, 10624, 147, 35641, 161, 97665, 4579, 99213, 28576, 31493, 34259, 29228, 5884, 5253, 5721, 33196, 12397, 27440, 83885, 32617, 31393, 36135, 97684, 36483, 28552, 30213, 28158, 84167, 84131, 30813, 27871, 31917, 95781, 36035, 97071, 97070, 38632, 27933, 36583, 29939, 97779, 36138, 30777, 31395, 94845, 36432, 36705, 35764, 37634, 29446, 29614, 38631, 28651, 31001, 29235, 83762, 97056, 38720, 11665, 30481, 27511, 83776, 28384, 31648, 57363, 29074, 8092, 36010, 4315, 35565, 29700, 27187, 29986, 4818, 28547]"
8559,8559,"[105531, 46411, 100204, 25222, 112167, 44183, 103303, 103162, 42316, 42354, 100266, 105574, 105533, 105588, 42734, 103295, 104878, 61815, 51115, 110006, 51361, 40136, 40211, 110738, 50922, 41609, 41065, 44790, 106374, 103643, 50018, 100271, 111435, 61707, 108429, 103786, 53458, 52699, 103654, 103224, 102695, 101308, 40235, 102999, 103001, 42186, 101309, 41608, 106324, 78586, 111434, 107002, 44109, 42021, 61717, 51254, 110468, 40147, 43622, 22478, 41686, 43084, 42181, 22775, 38085, 56241, 103081, 42205, 51799, 100148, 103696, 49573, 106388, 84479, 112766, 46042, 41813, 32217, 22763, 85171, 22182, 24501, 24469, 46412, 40052, 43198, 105532, 40234, 105426, 49878, 40144, 22999, 22141, 48634, 41603, 42718, 24503, 45262, 40635, 25483]"
9586,9586,"[83827, 37777, 99856, 37628, 35961, 97463, 36095, 37843, 31501, 97137, 31790, 95169, 36334, 83828, 84060, 15084, 37785, 96974, 14012, 83920, 33594, 97038, 16193, 39824, 14501, 36450, 37540, 14646, 37810, 17628, 83843, 14584, 38050, 14775, 35811, 83921, 95277, 14493, 31939, 14680, 14754, 33702, 15422, 35537, 32104, 14578, 15902, 95465, 17060, 99836, 14060, 35994, 14052, 97087, 14876, 35812, 35565, 36249, 14028, 83762, 14201, 97473, 27361, 14686, 27784, 35764, 30552, 18183, 14281, 36544, 14585, 29182, 33658, 14707, 84009, 33676, 31493, 14288, 36048, 99822, 31144, 14320, 33440, 14591, 15912, 33598, 29691, 36241, 39126, 14436, 36468, 14819, 39531, 96967, 36968, 83887, 28566, 16419, 15180, 95643]"
4101,4101,"[96437, 128826, 96393, 37246, 97349, 129282, 129286, 36975, 37080, 128082, 63062, 63003, 128742, 127650, 37245, 129290, 36886, 128741, 96745, 37302, 95938, 129289, 36884, 129280, 96392, 28920, 129287, 127638, 98950, 128077, 35616, 37243, 38782, 129186, 62929, 129284, 95554, 37343, 127692, 128752, 99576, 128831, 37244, 128131, 37120, 94552, 127725, 37227, 37387, 36843, 129288, 36737, 129279, 96487, 129122, 83863, 36739, 62400, 129012, 37070, 62797, 129285, 36977, 62479, 39303, 98269, 129281, 128739, 128745, 36738, 129029, 35706, 128740, 95363, 62798, 36755, 35707, 37793, 37123, 62577, 96778, 39629, 128715, 127673, 36056, 129283, 128746, 95796, 129119, 96787, 37081, 128743, 127671, 36462, 94772, 37151, 37228, 96849, 96123, 96746]"
